Country Name,Series Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,GDP growth (annual %),16.9399999961092,19.299999996256,7.0600000033518,3.80999999825444,7.7600000016445,2.31000000049113,8.72000000047512,-1.57000000275067,7.56999999917167,11.6666440032893,7.60000000000034,7.80669144981401,5.17241379310337,8.9344262295084,10.8352144469524,15.1391717583164,13.4433962264152,8.93970893970877,11.68893129771,11.2345151644596,4.18586789554524,3.90711389605613,9.29407591344449,14.2161635832521,13.8675760159137,13.0521587222365,10.9492273730684,9.92837246319102,9.23076923076908,7.83761391880728,7.66748617086637,8.49150849150834,8.33991054985566,9.13064594463337,10.0356030262568,10.1112234580387,11.3957759412304,12.7194790206908,14.231388035688,9.65428937259927,9.39981317141536,10.6361404632298,9.5364430080555,7.85626211026953,7.75763514617024,7.29766595938155,6.90020481672437,6.69999999999993,6.90000000000013,..
Germany,GDP growth (annual %),..,..,3.13269975367778,4.30034129410552,4.7774869132114,0.890068704199294,-0.866738895212265,4.94925839213008,3.34721808803467,3.00849287686853,4.1503633330354,1.40882865924603,0.529240537221568,-0.394840745632834,1.57241014934053,2.82294783413745,2.32793521988923,2.28733926897232,1.40215157409413,3.70723566872432,3.89655172419432,5.25500608609781,5.10826150794557,1.92380701113764,-0.956165307017542,2.45737182000687,1.73764063121563,0.817897617014211,1.84920066980847,1.97961840703675,1.98713494928661,2.96204536784524,1.69547145188611,0,-0.709906171880789,1.16997041286515,0.70671394810023,3.70015957205484,3.26053529682157,1.08231540391905,-5.61886043465857,4.07993330487069,3.66000015503516,0.491992829138056,0.489584482494635,1.92969040980758,1.74320539365993,1.94362542781317,2.2228247553612,..
India,GDP growth (annual %),6.53970029628042,5.15722973608266,1.64293038388736,-0.553301312377457,3.29552113522415,1.18533626033926,9.14991201480635,1.66310363661313,7.25476458583543,5.71253208900106,-5.23818270278909,6.73582152799872,6.00620362381703,3.47573324031281,7.28889290124626,3.82073785597316,5.25429922330902,4.77656417048912,3.96535563390637,9.62778291984768,5.94734332826579,5.53345456306464,1.05683143315218,5.48239602145289,4.75077621976337,6.65892406735311,7.57449184038397,7.54952224890152,4.04982084901742,6.18441582047615,8.84575556126177,3.84099115675511,4.82396626409319,3.80397532130318,7.86038147554173,7.92294341843562,9.2848246159904,9.26396475888482,9.80136033673229,3.89095706246896,8.47978389695572,10.259963064554,6.63836258517259,5.45638875297365,6.38610640094825,7.41022760508852,8.15442502779769,7.11268609734361,6.68118228178416,..
Japan,GDP growth (annual %),12.4778945144981,0.399050644836521,4.69899204221254,8.41354725523766,8.03259997464704,-1.22523982750971,3.09157591618936,3.97498409103324,4.3903379502233,5.27194150293194,5.48404183246976,2.81759120759064,4.20933646528428,3.31245673720697,3.52304498515672,4.50199481614233,5.23338094683791,3.32652561629536,4.73066586035505,6.78502010952113,4.85803768631257,4.89271306574963,3.41749676176126,0.848069581265648,-0.517919847221194,0.993066363306738,2.74214032209983,3.09999929076874,1.07604523420474,-1.12840982886489,-0.251954272088312,2.7796328252636,0.406335903197757,0.117992776770365,1.52822014814711,2.20468788231929,1.66267040518831,1.42000655604772,1.65418388116862,-1.09354060042271,-5.41641279673998,4.1917392586067,-0.115421339715752,1.49508958593792,2.00026784110196,0.374719476337631,1.35382311397998,0.938193886449625,1.71258113108748,..
Russian Federation,GDP growth (annual %),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.99999564223596,-5.04693945132409,-14.5310737737728,-8.66854034149995,-12.5697559795822,-4.14352840567564,-3.60000000044694,1.3999999993608,-5.29999999869118,6.40000000010392,9.99999999924519,5.09198423124653,4.74366989682775,7.29585433099831,7.1759491923189,6.37618702701077,8.15343197292428,8.53508020938543,5.24795353229557,-7.82088502701555,4.50372562582628,5.28488541544156,3.65590157303011,1.78535450092343,0.738600773189376,-2.82824081346035,-0.22491098425823,1.5456302290618,..
United Kingdom,GDP growth (annual %),2.05244565108853,6.59628652100466,3.48436803631409,4.30194591910262,6.50872079327365,-2.4634101667403,-1.47906165861521,2.91005909082574,2.44309376080768,4.20184942695502,3.7414535629806,-2.02776856155448,-0.770989934100299,2.01055980449532,4.22191756876859,2.27623559237631,4.19532546887598,3.12427897008472,5.30655940097982,5.74762691116879,2.56940445973237,0.731800511871981,-1.08654325327457,0.373976458666476,2.52692487873148,3.88003851735364,2.46973445248213,2.53865444674479,4.03824841443185,3.13780843053055,3.21672459154598,3.66412896042961,2.54413057337588,2.45787761727294,3.32590931540257,2.36445533735395,3.09608893680313,2.45599965111292,2.35670822982289,-0.472540317423494,-4.1877594383224,1.69454713975598,1.45262397009387,1.48132982903095,2.05238850842331,3.05425101175238,2.34593951714504,1.93579094969158,1.787150984874,..
United States,GDP growth (annual %),3.10000000000004,0.186045636370451,3.29547672836176,5.26326277619982,5.64312484755203,-0.51715456222523,-0.197678536519447,5.38609005075547,4.60859740653179,5.5616849289446,3.17569075012061,-0.244596225208085,2.59447038823151,-1.91089106804856,4.63245718120484,7.25908695936059,4.23873752083914,3.5116144990922,3.46174769185008,4.20397197941298,3.68052403304713,1.91937029742549,-0.0740845307123976,3.55539614766758,2.74585671892275,4.03764342486481,2.71897578878193,3.79588122942587,4.48702649316731,4.44991096328404,4.68519960839866,4.09217644881066,0.975981833932124,1.78612768745552,2.80677595648093,3.78574284969444,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.22403085385714,1.67733152992453,2.56919359418927,2.86158702527237,1.48527919319147,2.27333854830167,..
Brazil,GDP growth (annual %),9.73582688991262,8.76994747172614,11.2950868433502,12.0528022500387,13.9786916510754,9.0421203131704,5.20907590114368,9.79041016147573,4.60631806113821,3.23170956333547,6.76628496532679,9.11096015517178,-4.39335720034848,0.580245553394263,-3.40979347371619,5.26914314976841,7.94586174871301,7.98829510486235,3.59962946680905,-0.102672718384028,3.27945885796422,-3.10235594875034,1.51193723789997,-0.466913209800595,4.66516898877869,5.33455170247335,4.41673135388541,2.20753552794332,3.39502863721177,0.338356179270292,0.469066587492748,4.11248423957235,1.38283202786526,3.05401649348664,1.1398868686459,5.76441160717781,3.19646411192971,3.95729682920643,6.06035358460959,5.09085791114555,-0.125775153627558,7.54179863570168,3.98527761463821,1.93310788929955,3.01030558066189,0.508210254249647,-3.54976724660116,-3.46816285562606,0.97608568137602,..
Australia,GDP growth (annual %),7.04415869047823,7.17218249969342,4.00393029937437,3.91269095266455,2.61381945403487,4.10258940908359,1.35033806932037,2.58794616187579,3.59737724486371,0.896770386373419,4.04351412008216,3.03420651964717,3.33785828158,3.32811935127086,-2.22014376028406,4.58113977595602,5.2492064621253,4.05513490026313,2.50532414245347,5.68105349873713,3.86759656499176,3.5645510463558,-0.387546485670072,0.442615830244435,4.0390788740615,3.97853397066716,3.8293687531652,3.87863127139082,3.96642048968603,4.57673936435452,5.01806394269731,3.94318908229896,1.93310572881344,4.00302228370373,2.98574490463473,4.00110552014283,3.19031634041626,2.83423251220411,3.77732902959087,3.65776675972091,1.92272729288334,2.05294200395332,2.45110508268402,3.89194002647891,2.63948235705639,2.55833752286902,2.35113644074406,2.82731051096303,1.95757542160659,..
World,GDP growth (annual %),6.11729931994253,3.89096657115302,4.33937966797005,5.77676355245448,6.57036415262139,2.02227152191392,0.737939490376419,5.35494625872805,3.94694669612952,3.96039954225536,4.15877623279968,1.85947203069236,1.93692934584877,0.39033863675597,2.42446007948847,4.51877999032814,3.73376257531031,3.406876138653,3.68860506573809,4.62393580892694,3.67741165120736,2.91539941126857,1.43106396071018,1.78058022849383,1.53219606856707,3.00959100543712,3.03345369246088,3.38647197130119,3.70453603482979,2.53811235145307,3.25215452140117,4.38416422419343,1.9200515921076,2.20099160421789,2.8966886554536,4.36664814713762,3.84151399336663,4.29209275392159,4.21938607962981,1.8164128030561,-1.73328657045786,4.31652075873305,3.18463090300305,2.51342794003176,2.61742144538513,2.85900437336761,2.85551131196652,2.51346906018912,3.13774261250586,..
